Year,Sector_1,Sector_2,Sector_3,Sector_4,Element,Category,Unit,Value
1868,total_industry,total_industry,total_industry,total_industry,Electricity,FinalGJ,GJ,0.0
1868,total_industry,total_industry,total_industry,total_industry,Electricity,PrimaryGJ,GJ,0.0
1868,total_industry,total_industry,total_industry,total_industry,Oil,FinalGJ,GJ,0.0
1868,total_industry,total_industry,total_industry,total_industry,Oil,PrimaryGJ,GJ,0.0
1868,total_industry,total_industry,total_industry,total_industry,Total,GHG,kgCO2,2084017693.30106
1868,total_industry,total_industry,total_industry,total_industry,ValueAdded,ValueAdded,Euros,1364056617.5452
1869,total_industry,total_industry,total_industry,total_industry,Biomass,FinalGJ,GJ,4331290.64912926
1869,total_industry,total_industry,total_industry,total_industry,Biomass,PrimaryGJ,GJ,9598320.28422114
1869,total_industry,total_industry,total_industry,total_industry,Coal,FinalGJ,GJ,20242406.5171046
1869,total_industry,total_industry,total_industry,total_industry,Coal,PrimaryGJ,GJ,22319461.3413819
1869,total_industry,total_industry,total_industry,total_industry,DirectHydro,FinalGJ,GJ,1048545.68051419
1869,total_industry,total_industry,total_industry,total_industry,DirectHydro,PrimaryGJ,GJ,1050860.6543789
1869,total_industry,total_industry,total_industry,total_industry,Electricity,FinalGJ,GJ,0.0
1869,total_industry,total_industry,total_industry,total_industry,Electricity,PrimaryGJ,GJ,0.0
1869,total_industry,total_industry,total_industry,total_industry,Oil,FinalGJ,GJ,0.0
1869,total_industry,total_industry,total_industry,total_industry,Oil,PrimaryGJ,GJ,0.0
1869,total_industry,total_industry,total_industry,total_industry,Total,GHG,kgCO2,2199729123.02997
1869,total_industry,total_industry,total_industry,total_industry,ValueAdded,ValueAdded,Euros,1450946162.46348
1870,total_industry,total_industry,total_industry,total_industry,Biomass,FinalGJ,GJ,4168090.90909091
1870,total_industry,total_industry,total_industry,total_industry,Biomass,PrimaryGJ,GJ,9079416.45939291
1870,total_industry,total_industry,total_industry,total_industry,Coal,FinalGJ,GJ,19940861.9473592
1870,total_industry,total_industry,total_industry,total_industry,Coal,PrimaryGJ,GJ,21983960.9756087
1870,total_industry,total_industry,total_industry,total_industry,DirectHydro,FinalGJ,GJ,1044751.55671289
1870,total_industry,total_industry,total_industry,total_industry,DirectHydro,PrimaryGJ,GJ,1044751.55671289
